"","random_sample1","random_sample2","random_sample3","random_sample4","random_sample5","random_sample6","random_sample7","random_sample8","random_sample9","random_sample10"
"FPR1",0,0,0,0,0,0,0,0,0,11
"HAS1",0,0,0,0,0,0,0,0,0,0
"FPR2",0,0,0,0,0,0,0,0,0,0
"MIRLET7E",0,0,0,0,0,0,0,0,0,0
"SPACA6P",50,145,117,106,129,49,70,73,37,107
"MIR99B",0,0,0,0,0,0,0,0,0,0
"MIR125A",0,0,0,0,0,0,0,0,0,0
"SPACA6P-AS",0,9,1,0,0,1,1,1,1,1
"ZNF649",85,615,149,317,450,901,205,230,114,319
"ZNF577",44,127,102,65,238,216,67,43,118,109
"FPR3",0,0,0,0,0,0,0,0,0,0
"LOC101928571",4,4,8,3,4,0,8,0,8,0
"ZNF615",1847,688,742,1860,240,1866,1976,1957,1094,843
"ZNF350",773,611,886,726,1965,1136,529,790,316,587
"ZNF614",521,905,224,807,778,215,389,743,351,598
"ZNF613",456,183,440,233,152,198,514,715,189,469
"ZNF432",1299,153,556,1778,527,1589,1452,1592,749,177
"ZNF350-AS1",116,232,128,116,260,169,516,65,260,116
"ZNF836",560,68,485,175,115,52,73,65,143,567
"ZNF616",728,1499,400,3572,634,470,361,2004,1446,1395
"ZNF841",136,277,234,179,854,368,736,228,189,431
"PPP2R1A",15055,14668,16909,15836,14395,19602,17088,14651,16752,17512
"MIR6801",2,2,6,1,4,1,2,2,1,3
"MIR643",0,0,0,0,0,0,0,0,0,0
"ZNF766",983,1199,1538,1056,1921,2243,577,1155,949,1082
"ZNF610",725,116,838,160,397,2,203,439,425,438
"ZNF880",910,256,301,909,1147,419,102,851,266,468
"ZNF528",187,538,407,174,92,674,107,87,371,108
"ZNF808",55,31,39,10,5,42,41,155,168,70
"ZNF578",14,43,5,23,9,25,17,15,74,15
"ZNF83",1451,1349,2614,804,2005,2411,710,1460,1584,2774
"ZNF137P",6,16,8,10,11,112,9,3,26,15
"ZNF28",2143,1881,2149,2207,2076,1244,757,1688,1469,510
"ZNF600",893,352,713,523,821,525,161,106,1090,513
"ZNF816",313,265,73,136,158,95,135,169,78,366
"ZNF320",318,1278,525,656,223,372,376,453,189,754
"ZNF816-ZNF321P",0,0,0,0,0,0,0,0,0,0
"ZNF321P",18,38,23,19,25,20,13,18,13,20
"ERVV-2",0,0,0,0,0,0,0,0,0,0
"ZNF160",560,996,729,279,888,2249,549,1383,673,2233
"ERVV-1",0,0,0,0,0,0,0,0,0,0
"ZNF347",1727,1190,112,1349,636,1095,340,522,1545,1046
"ZNF415",187,535,668,230,489,318,99,426,204,497
"ZNF665",31,13,10,12,44,313,16,43,13,69
"ZNF818P",54,30,52,107,161,143,20,74,46,55
"ZNF845",453,965,630,46,75,259,330,251,279,257
"VN1R2",0,0,0,0,0,0,0,0,0,0
"BIRC8",0,0,0,0,0,0,0,0,0,0
"VN1R4",0,0,0,0,0,0,0,0,0,0
"FAM90A27P",0,0,0,0,0,0,0,0,0,0
"ZNF761",1175,1454,810,733,1688,1020,1234,1399,1238,1077
"TPM3P9",949,212,439,1150,220,1277,1034,1207,649,162
"ZNF765",1694,259,427,2053,862,2833,1865,2251,1300,386
"ZNF813",141,13,216,9,9,55,28,142,37,7
"ZNF331",1544,420,1190,508,1334,1053,830,1609,1415,1324
"LOC284379",0,1,0,0,0,0,0,0,0,0
"MIR1283-1",0,0,0,0,0,0,0,0,0,0
"MIR517A",0,0,0,0,0,0,0,0,0,0
"MIR520B",0,0,0,0,0,0,0,0,0,0
"MIR520D",0,0,0,0,0,0,0,0,0,0
"MIR518F",0,0,0,0,0,0,0,0,0,0
"MIR521-2",0,0,0,0,0,0,0,0,0,0
"MIR523",0,0,0,0,0,0,0,0,0,0
"MIR512-2",0,0,0,0,0,0,0,0,0,0
"MIR512-1",0,0,0,0,0,0,0,0,0,0
"MIR1283-2",0,0,0,0,0,0,0,0,0,0
"MIR519D",0,0,0,0,0,0,0,0,0,0
"MIR525",0,0,0,0,0,0,0,0,0,0
"MIR520H",0,0,0,0,0,0,0,0,0,0
"MIR520E",0,0,0,0,0,0,0,0,0,0
"MIR498",0,0,0,0,0,0,0,0,0,0
"MIR516A1",0,0,0,0,0,0,0,0,0,0
"MIR527",0,0,0,0,0,0,0,0,0,0
"MIR519A1",0,0,0,0,0,0,0,0,0,0
"MIR522",0,0,0,0,0,0,0,0,0,0
"MIR521-1",0,0,0,0,0,0,0,0,0,0
"MIR517C",0,0,0,0,0,0,0,0,0,0
"MIR518A2",0,0,0,0,0,0,0,0,0,0
"MIR516B1",0,0,0,0,0,0,0,0,0,0
"MIR518D",0,0,0,0,0,0,0,0,0,0
"MIR518A1",0,0,0,0,0,0,0,0,0,0
"MIR518E",0,0,0,0,0,0,0,0,0,0
"MIR518C",0,0,0,0,0,0,0,0,0,0
"MIR526A2",0,0,0,0,0,0,0,0,0,0
"MIR520C",0,0,0,0,0,0,0,0,0,0
"MIR516B2",0,0,0,0,0,0,0,0,0,0
"MIR526A1",0,0,0,0,0,0,0,0,0,0
"MIR520G",0,0,0,0,0,0,0,0,0,0
"MIR518B",0,0,0,0,0,0,0,0,0,0
"MIR517B",0,0,0,0,0,0,0,0,0,0
"MIR519B",0,0,0,0,0,0,0,0,0,0
"MIR524",0,0,0,0,0,0,0,0,0,0
"MIR526B",0,0,0,0,0,0,0,0,0,0
"MIR520A",0,0,0,0,0,0,0,0,0,0
"MIR519C",0,0,0,0,0,0,0,0,0,0
"MIR515-1+MIR515-2",0,0,0,0,0,0,0,0,0,0
"MIR520F",0,0,0,0,0,0,0,0,0,0
"MIR519E",0,0,0,0,0,0,0,0,0,0
"MIR1323",0,0,0,0,0,0,0,0,0,0
"DPRX",0,0,0,0,0,0,0,0,0,0
"NLRP12",2,0,0,0,0,0,0,1,3,1
"MIR373",0,0,0,0,0,0,0,0,0,0
"MIR371A",0,0,0,0,0,0,0,0,0,0
"MIR519A2",0,0,0,0,0,0,0,0,0,0
"MIR372",0,0,0,0,0,0,0,0,0,0
"MIR516A2",0,0,0,0,0,0,0,0,0,0
"MIR371B",0,0,0,0,0,0,0,0,0,0
"MYADM",2761,3577,3360,3254,2870,3087,2113,2445,3926,5528
"CACNG6",0,0,0,0,0,0,5,0,5,0
"CACNG7",0,0,0,0,0,0,0,0,1,0
"CACNG8",0,0,0,0,1,0,1,0,1,0
"MIR935",0,0,0,0,0,0,0,0,0,0
"OSCAR",0,0,0,0,0,0,1,0,1,0
"TFPT",1162,266,1041,1196,1086,640,658,1303,1449,1859
"VSTM1",0,0,0,0,0,0,0,0,0,0
"PRPF31",4778,4062,3092,4227,3160,4595,4066,4091,3206,2429
"NDUFA3",7110,8490,9527,6709,7781,9816,6142,7079,8299,9917
"TARM1",0,0,0,0,0,0,0,0,0,0
"LILRA6",0,0,0,0,0,0,0,0,0,0
"RPS9",8805,11337,11063,11361,8837,9591,11254,9317,11030,12385
"LENG1",732,1205,704,687,867,559,975,1027,840,842
"LILRB2",0,0,0,0,0,0,0,0,0,0
"LILRB5",1269,141,282,1551,141,1551,1410,1551,705,141
"MBOAT7",2179,3191,3948,3590,2647,2459,3469,2201,4229,4442
"TSEN34",1494,2251,3165,1924,2389,2847,2513,2244,3676,4918
"LILRB3",27,2,19,0,14,9,42,23,20,44
"MIR4752",0,0,0,0,0,0,0,0,0,0
"TMC4",1313,1955,2930,2387,1958,2817,2460,1500,2379,3438
"LILRA5",0,0,0,0,0,0,1,0,0,0
"LAIR1",728,1456,0,1456,728,0,364,728,728,732
"LILRA3",14,7,7,0,0,7,0,7,7,7
"LILRA4",0,0,0,0,0,0,0,0,0,0
"TTYH1",24,170,318,440,242,125,41,16,353,194
"LAIR2",0,0,0,0,0,0,0,0,0,0
"CDC42EP5",223,572,839,563,612,257,269,174,642,949
"LENG9",60,60,114,50,43,0,95,30,111,139
"LENG8",2049,1568,2032,2103,1433,2053,2243,2153,2201,2642
"LILRB1",666,274,274,59,59,274,0,451,274,274
"LILRA2",4,2,2,0,0,2,0,2,2,2
"LILRA1",2,1,1,2,0,1,0,1,1,1
"MIR8061",0,0,0,0,0,0,0,0,0,0
"LILRP2",0,0,0,0,0,0,0,2,0,0
"KIR2DL3",0,0,0,0,0,0,0,0,0,0
"KIR3DL3",0,0,0,0,0,0,0,0,0,0
"KIR2DL1",0,0,0,0,0,0,0,0,0,0
"LOC101928804",0,0,0,0,0,0,0,0,0,0
"KIR3DL2",0,0,0,0,0,0,0,0,0,0
"FCAR",1,5,1,0,0,1,1,0,0,1
"KIR2DS4",0,0,0,0,0,0,0,1,0,0
"NCR1",0,0,0,0,0,0,0,0,0,0
"KIR2DL4",0,0,0,0,0,0,0,0,0,0
"KIR3DL1",0,0,0,0,0,0,0,0,0,0
"NLRP2",138,181,154,370,195,131,158,30,195,304
"GP6",3,0,18,21,18,0,15,0,0,0
"RNU6-35P",0,0,0,0,0,0,0,0,0,0
"RNU6-64P",0,0,0,0,0,0,0,0,0,0
"PPP1R12C",809,922,1180,406,1080,775,776,369,996,450
"TNNT1",0,22,22,0,44,44,22,11,11,22
"EPS8L1",48,406,313,401,482,85,37,61,134,537
"DNAAF3",12,131,159,144,265,43,12,11,61,301
"TNNI3",5,29,10,23,3,33,1,0,41,60
"SYT5",381,489,362,128,259,306,865,239,625,350
"TMEM86B",1023,1254,1631,429,931,1296,1911,1401,986,1180
"HSPBP1",1670,1312,2119,2357,2663,2640,1560,1026,2086,2889
"BRSK1",17,18,43,29,22,22,15,45,34,47
"MIR6802",0,0,0,0,0,0,0,0,0,0
"PPP6R1",1384,2097,1767,1692,1370,1588,1525,1273,2099,1848
"MIR6803",0,0,0,0,0,0,0,0,0,0
"MIR6804",0,0,2,2,2,0,0,0,0,0
"COX6B2",0,1,0,0,0,0,1,0,0,0
"TMEM238",123,195,169,105,93,153,295,81,114,151
"IL11",0,0,57,35,1,0,60,3,1,0
"TMEM190",3,13,89,6,7,0,11,3,0,0
"UBE2S",165,156,215,136,191,110,164,157,119,195
"SHISA7",0,4,73,0,0,66,0,0,165,0
"FAM71E2",0,0,0,0,0,0,0,0,0,0
"RPL28",7320,10259,8625,8588,6779,5942,8185,5889,9824,11616
"SUV420H2",23,51,114,43,87,44,49,45,140,102
"MIR6805",0,0,0,0,0,0,0,0,0,0
"SSC5D",78,445,196,26,275,83,268,220,189,164
"ZNF579",142,354,358,189,291,181,444,172,414,450
"SBK2",66,45,114,65,112,91,135,18,11,23
"SBK3",2,0,17,17,34,0,0,0,0,51
"ZNF628",47,187,206,180,332,173,142,224,249,432
"NAT14",304,268,493,191,324,398,513,191,307,334
"U2AF2",301,738,723,686,662,389,339,357,525,1024
"EPN1",638,1425,1415,1026,1062,775,1255,677,1248,1580
"ZNF580",1390,1315,2564,1528,1989,1128,2196,1494,1982,2353
"CCDC106",349,621,789,517,724,531,561,308,603,622
"FIZ1",773,339,658,152,321,298,290,210,281,489
"ZNF784",109,434,318,147,481,239,426,84,624,613
"ZNF865",100,89,261,76,87,41,65,89,79,385
"ZNF581",330,688,1092,720,606,953,296,196,431,984
"ZNF524",634,397,670,517,354,442,444,443,738,911
"NLRP11",3,300,301,100,158,0,100,0,318,14
"RFPL4A",0,0,0,20,0,0,0,0,0,30
"RFPL4AL1",0,0,0,0,0,0,0,0,0,3
"NLRP13",0,0,0,0,0,0,0,0,0,0
"NLRP5",0,0,0,0,0,0,0,0,23,23
"LOC101928886",0,0,0,0,0,0,2,0,0,0
"ZNF444",1356,1055,1438,1774,911,1629,1654,1529,1061,2032
"GALP",0,0,0,0,0,0,0,0,0,0
"ZSCAN5B",0,0,0,0,0,0,0,0,0,0
"ZSCAN5A",142,272,287,516,224,76,79,233,158,248
"ZNF667",1313,479,943,177,309,372,224,801,683,868
"ZNF582-AS1",344,760,1071,934,398,738,510,1218,977,352
"ZNF583",368,302,291,38,53,295,346,172,88,128
"ZNF582",421,288,208,428,351,672,332,228,560,644
"ZNF667-AS1",1665,1587,1344,838,1731,1718,995,2887,1092,2456
"ZFP28",140,80,353,188,120,112,48,179,173,553
"ZNF71",843,371,699,717,244,815,685,296,383,402
"ZNF471",202,284,312,197,588,13,115,858,21,61
"ZNF470",282,196,369,126,270,155,440,263,68,678
"SMIM17",7,2,0,3,7,126,0,128,5,0
"ZNF835",87,128,43,32,60,82,49,86,82,194
"ZIM2",6,2,6,2,6,10,1,9,97,97
"MIMT1",1,0,0,8,7,1,0,0,0,0
"PEG3",824,633,603,326,857,710,578,1123,290,359
"PEG3-AS1",0,0,0,0,0,0,0,0,0,0
"USP29",0,0,0,0,0,0,1,0,0,0
"ZIM3",0,0,0,0,0,0,0,0,0,0
"ZNF264",477,1014,689,349,558,592,1148,437,1163,538
"ZNF805",1748,403,985,1438,1062,1983,1738,2756,1226,904
"AURKC",27,22,54,34,89,91,11,137,52,9
"ZNF548",697,1302,909,936,388,570,347,1130,523,641
"TRAPPC2P1",591,740,679,595,917,725,736,643,811,678
"ZNF547",12,286,137,529,121,893,539,9,221,39
"ZNF543",204,121,173,206,23,649,20,117,468,227
"ZNF17",569,772,193,18,277,269,452,827,344,317
"ZNF304",1135,1788,295,1590,881,106,620,863,822,960
"ZNF772",1162,675,500,372,539,974,400,975,85,1016
"ZNF773",357,743,404,405,382,535,141,441,632,292
"ZNF549",440,434,241,969,281,1657,862,888,540,237
"VN1R1",0,156,74,28,340,315,158,820,15,841
"ZNF419",2410,308,1079,2338,715,2180,2203,2303,1237,567
"ZNF749",168,181,178,153,156,126,113,156,76,154
"ZIK1",122,29,91,13,141,20,283,163,40,56
"ZNF211",84,891,623,963,341,909,225,260,445,763
"ZNF416",169,139,519,222,1083,3,230,439,18,159
"ZNF134",468,241,915,351,350,337,55,672,418,460
"ZSCAN4",3,0,0,0,0,0,3,0,3,6
"ZNF530",55,14,5,90,14,441,15,173,135,82
"ZNF552",346,391,177,107,341,106,520,321,208,199
"ZNF586",331,689,279,540,965,188,318,411,331,452
"ZNF776",1326,1431,764,723,861,933,630,654,1104,633
"ZNF154",443,474,343,211,279,701,526,332,563,487
"ZNF671",1837,550,774,1505,1586,1261,910,2213,1346,1281
"ZNF417",191,368,38,301,212,97,139,232,186,207
"FKBP1AP1",1023,616,880,1064,808,1026,571,1249,1058,1028
"ZNF587",65,539,343,451,355,625,373,207,192,398
"ZNF814",651,1330,1189,777,871,1108,674,944,889,875
"ZNF587B",61,271,495,720,786,697,109,558,276,142
"ZNF418",540,21,474,45,122,8,498,250,343,309
"ZNF135",926,208,438,294,510,112,347,402,697,777
"ZSCAN1",205,153,100,82,159,129,131,44,131,70
"LOC100128398",7,24,176,43,180,218,94,91,95,39
"ZNF606",3138,621,1180,3123,679,3273,2700,3535,1739,894
"C19orf18",3,177,141,117,17,6,51,126,194,22
"ZSCAN18",444,931,1819,695,1550,846,778,596,1036,1139
"ZNF329",63,41,60,13,17,107,121,23,197,72
"ZNF544",1151,546,1644,705,498,568,746,877,1469,1427
"ZNF8",56,48,541,204,368,41,109,15,135,157
"MIR6806",0,2,6,0,0,0,0,2,0,0
"ZNF837",168,68,133,164,183,92,58,200,104,198
"LOC646862",0,0,0,0,0,0,0,0,0,0
"ZNF132",264,49,586,65,134,734,122,469,77,124
"ZNF497",46,37,71,29,44,59,47,34,70,452
"ZNF324B",90,130,132,79,79,25,169,81,162,34
"RPS5",12560,20117,21153,18473,14237,16306,20337,13043,22751,27882
"ZNF584",1004,806,729,838,609,1823,925,1297,1477,1411
"A1BG",2268,1679,1864,951,1531,1493,1944,2203,1839,2106
"A1BG-AS1",40,8,20,4,49,76,30,10,12,45
"MIR4754",10,9,3,0,0,2,1,0,0,0
"ZBTB45",288,275,769,517,524,436,528,473,354,604
"CENPBD1P1",2276,1593,1950,2303,1540,4132,1200,882,3819,2837
"UBE2M",585,601,760,534,656,456,873,579,646,842
"ZNF446",642,367,706,640,238,607,550,330,760,466
"CHMP2A",11852,14037,14387,13056,11278,16456,10578,12951,13191,17891
"MZF1",1521,1255,1576,839,1414,1147,1694,947,1600,1368
"TRIM28",3105,3048,3039,2471,3357,3385,2288,1592,3751,3675
"SLC27A5",428,751,414,214,633,541,542,429,365,311
"LOC100131691",64,88,89,57,52,70,115,64,107,116
"MIR6807",34,57,49,31,59,45,42,21,70,74
"MYH7B",40,16,47,80,0,167,1,4,144,82
"PLCB1",156,276,604,684,587,236,263,617,318,856
"ATP9A",5531,5119,3386,2052,4165,5145,3647,3835,4197,4339
"MIR646HG",20,60,1,1,2,1,0,18,3,46
"LOC101926889",4,2,3,1,0,0,2,0,39,1
"LZTS3",476,1167,1298,639,686,446,928,602,1067,963
"STK35",314,655,721,418,323,404,813,286,284,681
"LOC101929312",0,0,0,0,0,0,0,0,0,0
"PLCB4",1588,616,947,440,959,842,591,908,732,1065
"MACROD2",777,543,297,187,124,500,688,390,163,160
"SLX4IP",375,277,167,168,255,181,482,193,217,793
"RIN2",14989,12716,17076,8922,14475,13749,8549,15653,13594,13580
"MYLK2",0,0,0,0,0,0,0,0,0,0
"CNBD2",0,72,0,0,0,0,72,0,0,41
"RBL1",120,185,360,301,91,479,142,173,118,64
"ZHX3",1238,939,2579,677,929,847,1256,1172,1101,1237
"PTPRT",1433,1092,626,431,915,1166,2044,797,1371,906
"RPRD1B",209,403,719,404,632,623,554,321,468,480
"NCOA3",2512,1136,2590,1548,1163,1650,1468,2557,2159,2754
"FAM65C",31,139,142,134,49,114,92,42,42,215
"HNF4A",2570,3982,2344,1208,3673,3663,3362,1715,3606,3295
"OSBPL2",1217,1755,1745,2467,2083,3112,1869,1843,2519,3282
"C20orf96",326,528,730,379,338,614,276,376,301,574
"RBCK1",2882,4505,4029,4142,3947,3524,3766,2467,4340,4714
"CSNK2A1",1705,2037,1825,1852,1361,2033,2190,1935,1936,1598
"SCRT2",10,9,7,11,19,12,18,11,5,1
"PDYN",0,0,0,0,0,0,0,0,0,0
"NSFL1C",7815,4723,5496,5052,4435,5916,4835,5239,4741,4544
"SDCBP2-AS1",167,80,106,181,98,139,219,62,230,422
"SIRPB1",0,0,12,20,24,2,0,0,0,36
"FKBP1A-SDCBP2",0,0,0,0,0,0,0,0,0,0
"PTPRA",2130,1997,2812,1817,1956,1732,1818,1655,2522,2919
"TMC2",30,0,0,15,15,0,0,48,0,0
"ZNF343",99,64,431,202,258,276,238,336,371,864
"SIGLEC1",0,0,0,0,0,0,0,0,0,0
"ATRN",1128,2244,3328,4048,2435,3190,2737,1686,3422,3654
"RNF24",1462,1555,2152,1135,1231,1546,968,1428,2262,2558
"C20orf194",712,393,929,353,355,266,490,1026,651,674
"SLC23A2",3145,1521,4467,1846,2360,2756,1614,1804,1873,1932
"CDS2",13479,9567,10015,13817,7607,11429,11810,12442,10366,9476
"PRNT",0,0,0,0,0,0,0,0,0,0
"LRRN4",78,52,44,88,80,0,104,52,33,151
"CHGB",332928,230686,273288,66166,174571,293948,254303,265982,237457,245311
"C20orf196",525,926,883,214,218,268,181,467,209,664
"CASC20",0,0,0,0,0,0,0,0,0,0
"LINC01428",0,0,0,0,0,0,0,0,0,0
"HAO1",304,11,273,0,1,14,120,231,364,181
"TMX4",4220,4159,5114,2970,3413,5096,3923,4411,4009,3706
"PAK7",2,1,35,12,0,8,0,2,10,15
"SNAP25",9778,5969,6490,4046,7311,8356,5323,9605,7820,5120
"SNAP25-AS1",23,2,14,3,24,15,12,19,31,8
"LOC101929413",0,0,12,0,0,0,0,0,12,0
"LINC00687",0,0,0,0,0,0,0,0,0,0
"SPTLC3",187,69,201,14,192,10,245,596,73,131
"ISM1",3,3,95,87,183,8,16,9,8,269
"TASP1",1655,1723,572,903,1684,1432,1043,1449,909,507
"ESF1",2409,2125,1941,1482,2663,1813,1810,1936,2116,2760
"SEL1L2",0,0,2,4,0,2,0,0,0,0
"MACROD2-IT1",0,0,0,0,0,0,0,0,0,2
"KIF16B",304,779,1166,1094,493,1023,501,308,942,594
"PCSK2",46400,26664,34465,7510,22830,31582,35907,28712,39079,33300
"DSTN",22329,23280,26952,16871,24310,27758,19065,19030,20207,23940
"BANF2",2,22,6,21,0,11,16,6,8,43
"DTD1",2023,1801,3266,1791,2750,2710,2494,1941,3267,3252
"MGME1",104,296,197,128,129,141,700,76,299,266
"SLC24A3",44,59,78,0,49,19,180,271,856,255
"C20orf26",27,109,3,0,21,29,2,1,11,1
"RALGAPA2",856,1367,2877,1892,1182,1596,786,832,666,1763
"XRN2",3646,3757,5129,3606,3715,4480,2990,4620,4579,4870
"LOC101929608",0,0,0,0,0,0,0,0,0,0
"LINC00261",1997,2987,2345,1582,2256,2025,2796,1046,3287,3634
"SYNDIG1",733,348,960,25,1671,872,238,192,1057,510
"ACSS1",124,744,1816,1407,1075,253,368,197,765,976
"NINL",1356,1057,796,584,672,401,997,1541,828,899
"ABHD12",6172,4000,7992,8288,4663,5999,6438,5930,7829,7066
"GINS1",339,1,1,62,0,0,8,0,9,8
"DEFB122",0,0,0,0,0,0,0,0,0,0
"BCL2L1",1705,2198,3566,2349,3456,2807,2384,1821,3041,3489
"FRG1B",1257,1449,1095,1116,1312,1339,981,2132,946,2191
"HM13",10769,10186,10432,11118,7961,13201,12626,12389,11122,13055
"NOL4L",2947,2366,3414,2965,3813,3078,1759,2879,1223,3356
"POFUT1",668,1024,1436,902,821,726,832,235,930,920
"HCK",4815,535,1078,5885,535,5885,5350,5885,2683,535
"COMMD7",3486,5093,3671,3008,4670,4816,2857,5789,3701,6727
"PDRG1",1349,1674,2049,1515,1038,1680,1761,1574,1745,2798
"LOC149950",0,0,0,3,0,0,0,0,0,0
"ZNF341",44,37,41,38,124,49,75,155,120,156
"SUN5",0,0,0,0,0,0,0,0,0,0
"CDK5RAP1",2136,1558,1759,2012,1597,2350,1641,1619,1473,2358
"CBFA2T2",1330,2303,1526,815,1376,1377,1080,1123,1329,1719
"AHCY",4310,5219,3459,4154,2957,5463,3296,4364,3415,4260
"ITCH",3278,1808,1889,3010,2303,3334,2565,3393,3153,1832
"TP53INP2",1158,1638,2852,2403,2139,1266,1097,753,1085,2850
"PIGU",799,887,1037,795,1285,1107,1068,920,765,835
"RALY",4467,6669,6746,5590,3814,6736,5425,4967,5242,8560
"MIR4755",10,0,0,0,0,0,0,0,0,0
"UQCC1",2510,2346,4000,2513,2144,3804,1821,1588,2975,2855
"CEP250",690,254,439,248,158,232,363,523,652,427
"MMP24",8,80,588,313,216,15,62,45,201,506
"PHF20",1972,1376,2857,2584,2412,2473,1916,2387,2306,2584
"DSN1",759,450,124,456,603,429,64,105,517,273
"EPB41L1",431,1308,1830,1746,780,1285,862,606,1615,2465
"SLA2",9,30,0,4,4,10,11,13,40,3
"SAMHD1",41,166,217,223,171,432,172,93,338,427
"TLDC2",3,0,28,0,1,27,0,0,1,1
"DLGAP4",1355,2392,4121,2297,2770,1917,3058,1577,3101,4741
"VSTM2L",590,897,654,290,1011,963,1207,553,877,633
"MROH8",144,749,147,111,258,313,96,120,91,60
"CTNNBL1",2196,2862,2120,1728,3128,2566,1764,1716,1858,1773
"LOC100287792",46,39,32,37,39,35,47,33,28,31
"BPI",0,0,0,3,0,0,3,0,0,0
"DHX35",296,1026,1529,567,408,520,579,821,525,937
"PPP1R16B",68,28,42,49,58,61,10,84,45,32
"SLC32A1",0,0,0,0,0,0,0,0,0,0
"TOP1",2077,2185,2767,2020,2190,1872,2048,1711,2314,2011
"LPIN3",1373,910,770,621,821,643,441,815,666,379
"CHD6",2528,2684,2033,1716,2317,2301,2689,1630,2082,1636
"TOX2",78,48,152,164,273,35,10,97,6,221
"SGK2",499,388,620,169,384,50,461,415,458,311
"MYBL2",1,36,0,42,0,60,143,0,24,16
"RIMS4",0,1,0,0,0,0,1,0,1,0
"ADA",535,243,740,252,418,368,496,469,279,668
"YWHAB",19557,19234,18607,18599,19209,20803,14074,22337,18388,21736
"TTPAL",338,728,321,358,758,892,356,349,322,390
"STK4",952,1307,651,1491,941,1182,565,1367,669,1057
"PCIF1",4919,4187,3497,3101,5364,6927,4801,3665,5004,4996
"NCOA5",1130,459,863,689,1208,1017,1150,1101,610,790
"EPPIN-WFDC6",0,0,0,1,0,1,0,0,0,0
"EPPIN",0,0,0,0,0,0,0,0,0,0
"CDH22",78,52,325,108,205,240,68,124,173,307
"DNTTIP1",725,2101,1556,1120,910,843,1213,1014,1102,1519
"ZMYND8",1495,2708,3292,2528,3517,2763,3148,2487,2340,2477
"EYA2",0,2,28,27,30,14,158,0,19,17
"SLC13A3",16,30,73,30,22,32,47,26,134,95
"SLC2A10",271,737,690,535,212,295,305,183,532,593
"SULF2",3387,1986,3880,2091,3426,3657,1785,3519,3648,2088
"ARFGEF2",2937,4509,2712,2901,2505,3672,2866,3154,3430,3431
"CSE1L",4063,4299,5059,3353,5425,6432,3436,5897,5037,8576
"DDX27",1233,2226,2663,2413,1635,2606,1832,1470,2505,2663
"PREX1",1015,555,1161,886,1824,1024,354,1283,475,1928
"TMEM189-UBE2V1",0,0,0,0,0,0,0,0,0,0
"TMEM189",2149,1158,1745,2583,1414,2048,2250,2103,1721,1452
"PTPN1",977,1056,1299,900,930,1283,1007,1138,1376,1815
"SLC9A8",1053,741,783,1346,551,1054,946,1070,1137,932
"LINC01272",5163,573,1144,6306,768,6292,5720,6292,2875,586
"ADNP",11558,6126,8299,11157,8830,12191,9425,11557,8653,6628
"BCAS4",553,762,1292,182,341,1186,681,604,542,554
"NFATC2",4,70,380,217,11,277,155,205,115,561
"MIR3194",0,0,0,0,0,0,0,0,0,0
"ZFP64",158,744,508,587,211,172,665,196,396,786
"LINC01429",1,1,0,1,0,0,0,0,0,0
"LOC101927700",0,0,0,0,0,0,0,0,0,0
"TSHZ2",231,807,1094,991,920,556,999,513,500,1327
"DOK5",18,208,129,118,149,33,108,17,13,406
"RTFDC1",5351,6847,6242,4856,5241,6328,4612,6702,6189,7242
"MIR5095",0,0,0,0,0,0,0,0,0,0
"CTCFL",0,0,0,0,0,0,0,0,0,0
"BMP7",1,34,23,4,17,18,16,4,21,8
"RBM38",218,222,411,274,563,538,204,157,190,395
"PMEPA1",1987,3134,4540,4614,6804,5116,2519,2027,2533,6259
"STX16-NPEPL1",33,0,2,1,9,4,6,0,0,0
"VAPB",2553,2387,3661,2568,3016,2808,3621,2475,3266,3098
"NPEPL1",8,18,15,27.5,25.5,25.5,16,9,22.5,42.5
"RAB22A",3209,2106,3316,1993,2944,2238,1390,2066,2586,2261
"GNAS-AS1",17,25,12,0,14,8,6,13,1,295
"APCDD1L-AS1",280,374,292,97,98,728,172,268,53,718
"PHACTR3",0,14,44,32,88,28,14,7,7,104
"SYCP2",9,339,216,181,1,101,225,1,246,38
"ZNF831",3,0,1,1,0,1,0,0,0,0
"CDH4",81,133,5,7,0,1,27,1,61,12
"TAF4",66,257,339,107,33,66,55,117,94,76
"TCFL5",11,30,89,95,26,136,146,13,35,157
"NTSR1",0,0,0,0,0,0,0,0,0,0
"HAR1A",4,19,7,3,45,18,29,3,27,9
"ZBTB46",235,116,158,116,184,146,163,286,147,207
"TPD52L2",1843,3728,3330,2771,2524,3049,3009,2578,3900,3927
"PRPF6",3210,3484,3856,2975,3387,3533,3820,2946,3977,3952
"EEF1A2",205,189,342,212,265,487,275,326,438,189
"LOC100130587",0,1,0,1,0,0,0,0,0,0
"DEFB125",0,0,0,0,0,0,0,0,0,0
"DEFB126",0,0,0,0,0,0,0,0,0,0
"DEFB127",0,0,0,0,0,0,0,0,0,0
"DEFB132",0,0,0,0,0,0,0,0,0,0
"DEFB128",0,0,0,0,0,0,0,0,0,0
"DEFB129",0,0,0,0,0,0,0,0,0,0
"ZCCHC3",393,783,870,557,472,319,513,823,455,418
"SOX12",275,211,403,215,239,153,358,218,152,414
"TRIB3",4930,6100,7260,2411,5882,6576,6944,3977,8406,7970
